Year,Number of Car Registration ('000),BLR (%),Unemployment Rate (%),Total Population,CPI,Total Export,Income,GDP
1969,21.6,9.1,7.6,10061684,-0.41,1.73,264,17817535563
1970,23.1,9.2,7.5,10306508,1.84,1.76,264,18884189212
1971,25.8,9.2,7.5,10552557,1.61,1.72,264,20779153503
1972,29.4,8.9,7.4,10801619,3.23,1.82,264,22729992899
1973,31.2,9.9,7.2,11062664,10.56,3.18,264,25389647919
1974,41.61,11.2,7.2,11335187,17.33,4.59,362,27501726906
1975,48.9,10.3,7.4,11617947,4.49,4.24,362,27722034465
1976,47.4,10,6.1,11910081,2.63,5.73,505,30927669086
1977,67.1,9.5,6.1,12218924,4.79,6.59,505,33325509326
1978,77.4,9.3,5.4,12543892,4.86,8.02,505,35542952797
1979,49.1,9.4,5.2,12875011,3.65,11.88,678,38865898972
1980,119.4,10.1,5.5,13215707,6.67,14.09,678,41758231850
1981,100.6,11.9,3.3,13564594,9.7,13.09,678,44657131817
1982,103.5,12.4,3.4,13921029,5.82,13.64,678,47311173245
1983,112.6,11.8,3.8,14292862,3.7,15.64,678,50269176995
1984,118.3,12.2,4.9,14686454,3.9,18.42,1098,54170965010
1985,92.5,12.6,5.6,15108135,0.35,17.13,1098,53615577054
1986,68.2,12.2,7.4,15558740,0.74,15.61,1098,54280729183
1987,55.4,10.4,7.3,16033103,0.29,20.24,1083,57098947793
1988,75.4,9.3,7.2,16524616,2.56,23.43,1083,62773281162
1989,109.1,8.9,5.7,17020143,2.81,27.73,1169,68460289887
1990,152.7,8.8,4.5,17517054,2.62,32.78,1169,74627553680
1991,148.7,9.3,3.697,18017464,4.36,38.25,1169,81751102498
1992,128.2,10.2,3.71,18526708,4.77,44.96,1566,89014784404
1993,138.2,10,4.11,19050077,3.54,52.79,1566,97822746879
1994,180.1,8.8,3.64,19588703,3.72,66.4,1566,106834219205.05
1995,248.5,8.7,3.15,20136888,3.45,83.46,2020,117335045630.59
1996,318.8,9.9,2.52,20689051,3.49,92.36,2020,129071719045.02
1997,384.7,10.6,2.45,21249178,2.66,93.29,2606,138523307832.51
1998,367.8,12.1,3.2,21810542,5.27,83.53,2606,128328802476.72
1999,345.6,8.6,3.43,22368655,2.74,96.02,2472,136205126470.56
2000,357.7,7.7,3,22945150,1.53,112.37,2472,148271359064.95
2001,408.07,7.1,3.53,23542517,1.42,102.44,2472,149038923296.26
2002,447.15,6.5,3.48,24142445,1.81,109.22,3011,157073594223.93
2003,432.05,6.3,3.61,24739411,1.09,117.85,3011,166165798103.90
2004,489.28,6,3.54,25333247,1.42,143.93,3249,177437551536.37
2005,556.59,6,3.53,25923536,2.98,162.05,3249,186898768708.90
2006,475.49,6.5,3.32,26509413,3.61,182.52,3249,197336779111.68
2007,480.67,6.4,3.23,27092604,2.03,205.49,3686,209766600383.97
2008,551.08,6.1,3.32,27664296,5.44,229.66,3686,219902039818.78
2009,539.2,5.1,3.66,28217204,0.58,184.9,4025,216573759299.08
2010,608.59,5,3.39,28717731,1.62,221.69,4025,232654030399.23
2011,607.55,4.9,3.05,29184133,3.17,254.02,4025,244970531973.68
2012,633.06,4.8,3.1,29660212,1.66,249.35,5000,258378881826.47
2013,664.7,4.6,3.16,30134807,2.11,244.49,5000,270506469604.10
2014,677.24,4.6,2.88,30606459,3.14,249.47,6141,286755041078.03
2015,678.09,4.6,3.1,31068833,2.1,209.29,6141,301355266964.95
2016,588.12,4.5,3.44,31526418,2.09,201.16,6958,314764917575.09
2017,579.6,4.6,3.41,31975806,3.87,223.41,6958,333061328477.27
2018,608.96,4.9,3.3,32399271,0.88,245.97,6958,349191778300.01
2019,612.94,4.9,3.26,32804020,0.66,238.38,7901,364602265936.14
2020,552.35,3.9,4.54,33199993,-1.14,207.8,7901,344706479641.24
2021,530.05,3.4,4.083,33573874,2.48,256.76,7901,356073661872.22
2022,744.78,3.9,3.629,33938221,3.38,300,8749,386875259314.19
