Year,Month,electric
2015,Jan,98
2015,Feb,88.7
2015,Mar,104.1
2015,Apr,101.2
2015,May,102.6
2015,Jun,99.1
2015,Jul,100.2
2015,Aug,102
2015,Sep,100.1
2015,Oct,103.8
2015,Nov,97.6
2015,Dec,102.6
2016,Jan,105.7
2016,Feb,98.2
2016,Mar,112.2
2016,Apr,110.8
2016,May,112.6
2016,Jun,107.8
2016,Jul,107.4
2016,Aug,113.8
2016,Sep,107.3
2016,Oct,111.1
2016,Nov,107.2
2016,Dec,109
2017,Jan,106.3
2017,Feb,99.2
2017,Mar,111.5
2017,Apr,108.7
2017,May,115
2017,Jun,109.6
2017,Jul,115.4
2017,Aug,116.7
2017,Sep,109.2
2017,Oct,115.7
2017,Nov,110.9
2017,Dec,112.7
2018,Jan,112.1
2018,Feb,103
2018,Mar,119.6
2018,Apr,116.2
2018,May,119.1
2018,Jun,114
2018,Jul,121.8
2018,Aug,122.6
2018,Sep,114.1
2018,Oct,120.1
2018,Nov,115.6
2018,Dec,117
2019,Jan,120.5
2019,Feb,107.8
2019,Mar,125
2019,Apr,122.8
2019,May,125.6
2019,Jun,115.7
2019,Jul,124
2019,Aug,122.7
2019,Sep,119.3
2019,Oct,120.4
2019,Nov,117.1
2019,Dec,117.8
2020,Jan,120.9
2020,Feb,115.4
2020,Mar,115.1
2020,Apr,99.3
2020,May,113
2020,Jun,113.3
2020,Jul,118.2
2020,Aug,121.6
2020,Sep,117
2020,Oct,121.8
2020,Nov,114.5
2020,Dec,118
2021,Jan,115.6
2021,Feb,109
2021,Mar,126.6
2021,Apr,122.3
2021,May,123.2
2021,Jun,108
2021,Jul,112.837863019659
2021,Aug,116.0234835624
2021,Sep,117.886112598638
2021,Oct,126.970144610911
2021,Nov,120.619008535528
2021,Dec,123.803258165886
2022,Jan,122.172429000106
2022,Feb,109.307407384527
2022,Mar,126.643049694908
2022,Apr,123.501248302979
2022,May,126.892039574152
2022,Jun,123.778399572344
2022,Jul,127.597402803868
2022,Aug,127.434110002378
2022,Sep,121.750280011136
2022,Oct,124.188473005436
2022,Nov,120.008630860476
2022,Dec,121.056823784559
2023,Jan,120.054576157035
2023,Feb,111.875699260426
2023,Mar,127.168884580452
2023,Apr,122.999116410967
2023,May,134.433255973847
2023,Jun,127.262545107255
2023,Jul,129.508297715735
2023,Aug,129.899116270636
2023,Sep,124.503354412691
2023,Oct,131.355346548525
2023,Nov,125.207571610761
2023,Dec,126.570608959447
